    CDQ    "
    CSOE   \0
    CCOM   ,
    CDOL   $
    CEOS   :
    CSC    ;
    CCR    \r
    CGTO   goto
    CGS   gosub
    CTO   to
    CSTEP   step
    CTHEN   then
    CPND   #
    CSROP  <=
    CLE    <=
    CNE    <>
    CGE    >=
    CLT    <
    CGT    >
    CEQ    =
    CEXP   ^
    CMUL   *
    CPLUS   +
    CMINUS   -
    CDIV   /
    CNOT   not
    COR   or
    CAND   and
    CLPRN   (
    CRPRN   )
    CAASN   =
    CSASN   =
    CSLE    <=
    CSNE    <>
    CSGE    >=
    CSLT    <
    CSGT    >
    CSEQ    =
    CUPLUS   +
    CUMINUS   -
    CSLPRN   (
    CALPRN   \0
    CDLPRN   \0
    CFLPRN   (
    CDSLPR   (
    CACOM   ,
    CFFUN  STR$
    CSTR   STR$
    CCHR   CHR$
    CUSR   USR
    CASC   ASC
    CVAL   VAL
    CLEN   LEN
    CADR   ADR
    CNFNP  ATN
    CNFNP  cos
    CNFNP  peek
    CNFNP  sind
    CNFNP  RND
    CNFNP  FRE
    CNFNP  EXP
    CNFNP  LOG
    CNFNP  CLOG
    CNFNP  SOR
    CNFNP  SGN
    CNFNP  ABS
    CNFNP  INT
    CNFNP  PADDLE
    CNFNP  STICK
    CNFNP  PTRIG
    CNFNP  STRIG



